Agency,Cntyfip,Circumstance,MSA,Number of Records,Solved,Source,State,Vic Age,Vic Race,Vic Sex,Weapon,Year
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1999
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",2001
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",2001
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,39,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore County Police Department,"Baltimore, MD",Arson,"Baltimore-Towson, MD",1,No,FBI,Maryland,35,Black,Male,Other or type unknown,1995
Baltimore County Police Department,"Baltimore, MD",Arson,"Baltimore-Towson, MD",1,No,FBI,Maryland,36,Black,Male,Other or type unknown,1995
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1991
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1991
Prince George's County Police Department,"Prince George's, MD",Other,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",2000
Prince George's County Police Department,"Prince George's, MD",Other,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,35,Black,Male,"Handgun - pistol, revolver, etc",2000
Montgomery County Police Department,"Montgomery, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1994
Montgomery County Police Department,"Montgomery, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,34,Black,Male,"Handgun - pistol, revolver, etc",1994
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,35,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2005
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",2005
Baltimore County Police Department,"Baltimore, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2007
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",1990
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,40,Black,Male,"Handgun - pistol, revolver, etc",1990
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2003
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2003
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,31,Black,Male,"Handgun - pistol, revolver, etc",2006
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,34,Black,Male,"Handgun - pistol, revolver, etc",2006
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,44,Black,Male,"Handgun - pistol, revolver, etc",2009
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,18,Black,Male,"Firearm, type not stated",1997
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,19,Black,Male,"Firearm, type not stated",1997
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1996
Howard County Police Department,"Howard, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1999
Howard County Police Department,"Howard, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1999
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,47,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,47,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,34,Black,Male,"Handgun - pistol, revolver, etc",2006
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,52,Black,Male,"Handgun - pistol, revolver, etc",2006
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1991
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1991
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",1995
Prince George's County Police Department,"Prince George's, MD",Burglary,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1996
Prince George's County Police Department,"Prince George's, MD",Burglary,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,32,Black,Male,"Handgun - pistol, revolver, etc",1996
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1996
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1996
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1991
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1991
Prince George's County Police Department,"Prince George's, MD",Robbery,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",1989
