Agency,Cntyfip,Circumstance,MSA,Number of Records,Solved,Source,State,Vic Age,Vic Race,Vic Sex,Weapon,Year
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,58,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1991
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",1992
Takoma Park,"Montgomery, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,Yes,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,37,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Other,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,31,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",1991
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1991
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,38,Black,Male,"Handgun - pistol, revolver, etc",1993
Salisbury,"Wicomico, MD",Other arguments,"Salisbury, MD",1,Yes,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,39,Black,Male,"Handgun - pistol, revolver, etc",1997
Salisbury,"Wicomico, MD",Other arguments,"Salisbury, MD",1,Yes,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2009
Hagerstown,"Washington, MD",Other arguments,"Hagerstown-Martinsburg, MD-WV",1,Yes,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1991
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,999,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,16,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",2001
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",2001
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,37,Black,Male,"Handgun - pistol, revolver, etc",2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2003
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",2004
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2004
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,16,Black,Male,"Handgun - pistol, revolver, etc",2004
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2005
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,35,Black,Male,"Handgun - pistol, revolver, etc",2006
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,40,Black,Male,"Handgun - pistol, revolver, etc",2007
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2007
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2010
Frederick,"Frederick, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,Yes,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",2010
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",2011
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2011
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2011
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1991
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2003
Baltimore,"Baltimore city, MD",Other - not specified,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,16,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,43,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",2003
Baltimore,"Baltimore city, MD",Rape,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1992
Annapolis,"Anne Arundel, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,66,Black,Male,"Handgun - pistol, revolver, etc",2004
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,37,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,31,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,38,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2002
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,41,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,60,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,44,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1992
Salisbury,"Wicomico, MD",Robbery,"Salisbury, MD",1,Yes,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2002
Princess Anne,"Somerset, MD",Robbery,"Salisbury, MD",1,Yes,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",2004
Baltimore,"Baltimore city, MD",Lovers triangle,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,25,Black,Male,Knife or cutting instrument,1989
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,35,Black,Male,Knife or cutting instrument,1987
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,29,Black,Male,Knife or cutting instrument,1989
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,20,Black,Male,Knife or cutting instrument,1997
Annapolis,"Anne Arundel, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,20,Black,Male,Knife or cutting instrument,2004
Salisbury,"Wicomico, MD",Other arguments,"Salisbury, MD",1,Yes,FBI,Maryland,19,Black,Male,Knife or cutting instrument,2005
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,37,Black,Male,Knife or cutting instrument,1989
Baltimore,"Baltimore city, MD",Argument over money or property,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,55,Black,Male,Knife or cutting instrument,2002
Hagerstown,"Washington, MD",Other,"Hagerstown-Martinsburg, MD-WV",1,Yes,FBI,Maryland,18,Black,Male,Knife or cutting instrument,2013
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,17,Black,Male,Knife or cutting instrument,1990
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,19,Black,Male,Knife or cutting instrument,1991
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,57,Black,Male,Knife or cutting instrument,1989
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,26,Black,Male,Other or type unknown,2006
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,39,Black,Male,Other or type unknown,2006
Baltimore,"Baltimore city, MD",Argument over money or property,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,26,Black,Male,"Personal weapons, includes beating",1991
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,3,Black,Male,"Personal weapons, includes beating",1995
Baltimore,"Baltimore city, MD",Other,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,2,Black,Male,"Personal weapons, includes beating",1989
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,15,Black,Male,"Personal weapons, includes beating",1996
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,81,Black,Male,"Personal weapons, includes beating",1991
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,54,Black,Male,"Personal weapons, includes beating",2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,39,Black,Male,Shotgun,1987
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,47,Black,Male,Shotgun,2006
Easton,"Talbot, MD",Other arguments,Rural Maryland,1,Yes,FBI,Maryland,15,Black,Male,Shotgun,1994
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,44,Black,Male,Shotgun,1991
Baltimore,"Baltimore city, MD",Argument over money or property,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,37,Black,Male,"Blunt object - hammer, club, etc",1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,46,Black,Male,"Blunt object - hammer, club, etc",1996
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,32,Black,Male,"Blunt object - hammer, club, etc",1993
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,39,Black,Male,"Blunt object - hammer, club, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,25,Black,Male,"Blunt object - hammer, club, etc",1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,45,Black,Male,"Blunt object - hammer, club, etc",1998
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,44,Black,Male,"Blunt object - hammer, club, etc",2000
Baltimore,"Baltimore city, MD",Other,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,4,Black,Male,"Blunt object - hammer, club, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,50,Black,Male,"Blunt object - hammer, club, etc",1992
Annapolis,"Anne Arundel, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,15,Black,Male,"Firearm, type not stated",2001
Baltimore,"Baltimore city, MD",Argument over money or property,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,32,Black,Male,"Handgun - pistol, revolver, etc",2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Lovers triangle,"Baltimore-Towson, MD",1,Yes,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,35,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,44,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,52,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,38,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,31,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,34,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Gangland killings,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Other,"Baltimore-Towson, MD",1,No,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,44,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,34,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,35,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,31,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,53,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,32,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,41,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,46,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,43,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,34,Black,Male,"Handgun - pistol, revolver, etc",2015
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,34,Black,Male,"Handgun - pistol, revolver, etc",2016
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,45,Black,Male,"Handgun - pistol, revolver, etc",2016
